Complaint,CodedMonth,DateOccur,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,CADAddress,CADStreet,XCoord,YCoord
18-030428,2018-07,6/30/2018 1:24,52212,6,BURGLARY-BUSINESS/NIT/FORCE ENT/UNOCCUPIE,5100,BULWER AVE,64,5100,BULWER,904133.1,1035784
18-031676,2018-07,6/30/2018 1:30,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4121,MANCHESTER AVE,39,4121,MANCHESTER,891310.8,1017606
18-029852,2018-07,6/30/2018 1:40,91114,5,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",5215,THEODOSIA AVE,52,1620,UNION,887433.2,1031693
18-031655,2018-07,6/30/2018 4:00,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4656,MICHIGAN AVE,17,4656,MICHIGAN,894485.6,997001.8
18-030979,2018-07,6/30/2018 10:08,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3501,S GRAND BLVD,15,3501,GRAND,893356,1005075
18-032835,2018-07,6/30/2018 11:20,51322,3,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,2915,POTOMAC ST,19,2915,POTOMAC,896423.3,1004728
18-030595,2018-07,6/30/2018 12:00,51322,5,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,2811,N KINGSHIGHWAY BLVD,52,2811,KINGSHIGHWAY,889665.3,1033010
18-031319,2018-07,6/30/2018 13:30,71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5891,RIDGE AVE,78,5891,RIDGE,881898.9,1033264
18-030648,2018-07,6/30/2018 14:00,72113,1,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,3710,MERAMEC ST,16,3710,MERAMEC,892612.3,1000785
18-030245,2018-07,6/30/2018 17:00,65701,6,LARCENY-MTR VEH PARTS UNDER $500,5923,ALPHA AVE,73,5626,FLORISSANT,891287.8,1048498
18-031647,2018-07,6/30/2018 17:00,52322,4,BURGLARY-BUSINESS/UNK TIME/UNLAW ENT/UNOCCUPIE,512,LOCUST ST,35,512,LOCUST,908875.7,1017845
18-030450,2018-07,6/30/2018 17:15,63601,1,"LARCENY-SHOPLIFT $500 - $24,999",932,LOUGHBOROUGH AVE,1,932,LOUGHBOROUGH,888524.2,991611.8
18-030631,2018-07,6/30/2018 17:30,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3700,NATURAL BRIDGE AVE,59,3700,NATURAL BRIDGE,900471.2,1029898
18-031209,2018-07,6/30/2018 17:34,51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,7349,CORONADO AVE,4,7349,CORONADO,884566.1,992226.9
18-029975,2018-07,6/30/2018 17:50,31421,6,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,4145,N GRAND BLVD,67,4234,GRAND,902004.8,1031608
18-030479,2018-07,6/30/2018 18:00,51322,3,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,1543,LASALLE LN,33,1543,LASALLE,903933.4,1014272
18-030109,2018-07,6/30/2018 18:30,265321,3,LEAVING SCENE OF ACCIDENT,3301,PARK AVE,31,3301,PARK,896494.3,1014793
18-029976,2018-07,6/30/2018 18:55,91114,1,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",7886,GERMANIA ST,1,7886,GERMANIA,885928.8,989747.6
18-035324,2018-07,6/30/2018 18:55,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,7886,GERMANIA ST,1,7886,GERMANIA,885928.8,989747.6
18-029978,2018-07,6/30/2018 19:30,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4726,PRIMM ST,4,4726,PRIMM,880592.8,994293.3
18-030095,2018-07,6/30/2018 21:00,65701,3,LARCENY-MTR VEH PARTS UNDER $500,3225,S JEFFERSON AVE,30,3225,JEFFERSON,898721.6,1006021
18-030093,2018-07,6/30/2018 21:08,52322,1,BURGLARY-BUSINESS/UNK TIME/UNLAW ENT/UNOCCUPIE,4100,GRAVOIS AVE,16,4100,GRAVOIS,889986.9,1003390
18-030021,2018-07,6/30/2018 21:45,21000,5,RAPE -- FORCIBLE,5900,WABADA AVE,50,5900,LOTUS,0,0
18-030019,2018-07,6/30/2018 22:15,71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,0,S 10TH ST / EMMET ST,21, , ,904601,1011027
18-030065,2018-07,6/30/2018 23:00,265321,4,LEAVING SCENE OF ACCIDENT,315,N 11TH ST,35, , ,907182.8,1018218
18-031744,2018-07,6/30/2018 23:30,21000,5,RAPE -- FORCIBLE,4500,DUNCAN AVE,38,4500,DUNCAN,0,0
18-030029,2018-07,6/30/2018 23:40,43012,3,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE,1552,S GRAND BLVD,31, , ,894912.6,1014714
18-030029,2018-07,6/30/2018 23:40,91113,3,SIMPLE ASSAULT-ADULT/NO INJURY,1552,S GRAND BLVD,31, , ,894912.6,1014714
18-030029,2018-07,6/30/2018 23:40,91114,3,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",1552,S GRAND BLVD,31, , ,894912.6,1014714
18-030020,2018-07,7/1/2018 0:10,265321,3,LEAVING SCENE OF ACCIDENT,0,GRAVOIS AVE / PESTALOZZI ST,30, , ,897798.1,1008384
18-030012,2018-07,7/1/2018 0:30,265321,6,LEAVING SCENE OF ACCIDENT,0,BLASE AVE / HALL ST,74,7600,HALL,898179,1046847
18-030018,2018-07,7/1/2018 0:30,41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4045,LINDELL BLVD,38, , ,893199.2,1021854
18-030017,2018-07,7/1/2018 0:35,91113,3,SIMPLE ASSAULT-ADULT/NO INJURY,1711,S 9TH ST,21,1711,9TH,905041.7,1011294
18-030017,2018-07,7/1/2018 0:35,91113,3,SIMPLE ASSAULT-ADULT/NO INJURY,1711,S 9TH ST,21,1711,9TH,905041.7,1011294
18-030023,2018-07,7/1/2018 0:40,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4909,WINONA AVE,5,4909,WINONA,884777.1,1003839
18-030031,2018-07,7/1/2018 1:00,130000,6,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",5552,EMERSON AVE,71, , ,894107.6,1042683
18-030050,2018-07,7/1/2018 1:00,64701,3,LARCENY-FROM MTR VEH UNDER $500,2003,OREGON AVE,24,1645,DR MARTIN LUTHER KING,898034.7,1012024
18-030025,2018-07,7/1/2018 1:10,71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4327,ELLENWOOD AVE,5,4327,ELLENWOOD,886938.5,1002392
18-030161,2018-07,7/1/2018 2:00,91114,4,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",3031,MARKET ST,37, , ,900061.2,1018771
18-030034,2018-07,7/1/2018 2:20,152200,4,WEAPONS-CITY VIOL/DISCHRGING IN CITY,1430,N 16TH ST,61, , ,906256.9,1022439
18-030028,2018-07,7/1/2018 2:20,266510,4,PUBLIC ORDER-TRESPASSING,1000,SPRUCE ST,35,1000,SPRUCE,906666.7,1015976
18-030033,2018-07,7/1/2018 2:24,265321,4,LEAVING SCENE OF ACCIDENT,0,N 9TH ST / N MARKET ST,64, , ,908574,1025613
18-030036,2018-07,7/1/2018 4:02,151130,6,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,0,PARK - OFALLON,85, , ,900324.4,1036832
18-030037,2018-07,7/1/2018 4:29,51211,3,BURGLARY-RESIDENCE/NIT/FORCE ENT/OCCUPIED,2636,CHIPPEWA ST,16,2636,CHIPPEWA,898026,1002536
18-030040,2018-07,7/1/2018 5:00,51212,1,BURGLARY-RESIDENCE/NIT/FORCE ENT/UNOCCUPIED,5447,ROSA AVE,6,5447,ROSA,881087.5,1000532
18-030039,2018-07,7/1/2018 5:10,91114,1,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",5435,RHODES AVE,6,5435,RHODES,881095.4,999574.9
18-030046,2018-07,7/1/2018 5:20,43012,5,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE,5475,CABANNE AVE,49,5475,CABANNE,883631.8,1028675
18-030045,2018-07,7/1/2018 6:15,38111,6,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL,8742,ORIOLE AVE,74, , ,894686.4,1049981
18-030243,2018-07,7/1/2018 6:26,52122,1,BURGLARY-BUSINESS/DAY/UNLAW ENT/UNOCCUPIED,5020,RHODES AVE,6,5020,RHODES,881921.9,999270.2
18-030253,2018-07,7/1/2018 6:45,65701,3,LARCENY-MTR VEH PARTS UNDER $500,3150,S GRAND BLVD,25,3150,GRAND,893905,1007810
18-030047,2018-07,7/1/2018 8:15,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,0,S GRAND BLVD / SCOTT AVE,37, , ,895809.9,1018289
18-030048,2018-07,7/1/2018 8:25,63701,5,LARCENY-SHOPLIFT UNDER $500,4218,LINDELL BLVD,38,4218,LINDELL,891808.7,1022061
18-030049,2018-07,7/1/2018 8:50,43012,4,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE,1520,N 13TH ST,63, , ,907779,1022680
18-030171,2018-07,7/1/2018 9:00,51312,3,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,1116,GRATTAN ST,33,1116,GRATTAN,903630.3,1014241
18-030226,2018-07,7/1/2018 9:00,265321,4,LEAVING SCENE OF ACCIDENT,601,CLARK AVE,35,800,RUSSELL,908223.8,1016086
18-030053,2018-07,7/1/2018 9:05,265321,6,LEAVING SCENE OF ACCIDENT,4409,MARCUS AVE,69,4409,MARCUS,895016.4,1036987
18-030064,2018-07,7/1/2018 9:15,91114,5,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",1425,BLACKSTONE AVE,78,1425,BLACKSTONE,883224.6,1032632
18-030054,2018-07,7/1/2018 9:16,63701,3,LARCENY-SHOPLIFT UNDER $500,2500,S JEFFERSON AVE,23,2500,JEFFERSON,899523.6,1009803
18-030058,2018-07,7/1/2018 9:20,91114,5,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",4949,BARNES JEWISH HOSPITAL PLZ,38,4949, ,887396.8,1020150
18-030063,2018-07,7/1/2018 9:23,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4700,BIRCHER BLVD,69,4700,BIRCHER,895152.2,1037234
18-030059,2018-07,7/1/2018 9:25,63701,1,LARCENY-SHOPLIFT UNDER $500,8200,S BROADWAY,2,8200,BROADWAY,888035.9,986508.1
18-030076,2018-07,7/1/2018 10:00,71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1125,DOLMAN ST,32,1125,DOLMAN,903145.3,1014215
18-033214,2018-07,7/1/2018 10:00,65701,2,LARCENY-MTR VEH PARTS UNDER $500,1325,S GRAND BLVD,29,1325,GRAND,894902.8,1015747
18-035498,2018-07,7/1/2018 10:30,65701,2,LARCENY-MTR VEH PARTS UNDER $500,5225,WILSON AVE,12,5225,WILSON,884846.6,1013261
18-030070,2018-07,7/1/2018 10:45,44012,4,"AGG.ASSAULT-HNDS,FST,FEET/CTZEN ADLT 2ND DEGRE",1000,SELBY PL,61,1715,PRESERVATION,906212.9,1020777
18-030157,2018-07,7/1/2018 11:30,64711,3,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,2110,S 11TH ST,21,2110,11TH,903550.3,1010232
18-030084,2018-07,7/1/2018 11:44,151110,6,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,5003,GOODFELLOW BLVD,76, , ,887701.6,1044511
18-030361,2018-07,7/1/2018 12:00,69602,4,"LARCENY-ALL OTHER $500 - $24,999",3747,PALM ST,59,3747,PALM,899955.5,1029968
18-030201,2018-07,7/1/2018 12:00,64701,3,LARCENY-FROM MTR VEH UNDER $500,1720,CHOUTEAU AVE,33, , ,903721,1014843
18-030078,2018-07,7/1/2018 12:30,31421,5,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,4510,MARYLAND AVE,38, , ,889296.1,1023305
18-030081,2018-07,7/1/2018 12:46,91113,3,SIMPLE ASSAULT-ADULT/NO INJURY,3258,OHIO AVE,30, , ,898194.8,1005777
18-030080,2018-07,7/1/2018 12:58,91123,4,SIMPLE ASSAULT-CHILD/NO INJURY,1949,HEBERT ST,63,1949,HEBERT,905456.6,1027515
18-030115,2018-07,7/1/2018 13:00,67701,5,LARCENY-FROM BUILDING UNDER $500,5805,SELBER CT,50,5805,SELBER,884807.3,1037849
18-030097,2018-07,7/1/2018 13:00,51122,3,BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED,1929,CALIFORNIA AVE,24,1929,CALIFORNIA,898373.1,1012049
18-030085,2018-07,7/1/2018 13:10,41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,1119,N TUCKER BLVD,61,1119,TUCKER,907258.8,1020890
18-030091,2018-07,7/1/2018 13:48,71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5232,LOUGHBOROUGH AVE,6,5232,LOUGHBOROUGH,880435.6,997245.4
18-030092,2018-07,7/1/2018 13:48,64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",500,PINE ST,35, , ,908732.9,1017197
18-030142,2018-07,7/1/2018 14:00,64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,605,N 2ND ST,35, , ,910145.3,1018391
18-032331,2018-07,7/1/2018 14:11,112010,3,FRAUD-CREDIT DEVICE/OVER $150,2615,VICTOR ST,24,2615,VICTOR,899239.9,1009851
18-030088,2018-07,7/1/2018 14:15,41013,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,1899,CARR ST,61,1000,19TH,904607.8,1021593
18-030210,2018-07,7/1/2018 14:50,71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5750,NATURAL BRIDGE AVE,50, , ,885556.4,1038533
18-030103,2018-07,7/1/2018 14:58,91114,1,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",4333,CALIFORNIA AVE,17,4305,OREGON,896498.3,999171
18-030098,2018-07,7/1/2018 15:00,63701,5,LARCENY-SHOPLIFT UNDER $500,3431,UNION BLVD,50, , ,888884.8,1036000
18-030196,2018-07,7/1/2018 15:00,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,200,N 4TH ST,35,200,4TH,909518.1,1017323
18-030100,2018-07,7/1/2018 15:10,71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4129,TURNER AVE,68,4129,TURNER,897143.6,1033988
18-030540,2018-07,7/1/2018 15:30,67701,2,LARCENY-FROM BUILDING UNDER $500,2206,BLENDON PL,43,2206,BLENDON,874209.1,1013992
18-030108,2018-07,7/1/2018 15:35,71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4520,MARYLAND AVE,38, , ,889470.1,1023382
18-030181,2018-07,7/1/2018 16:00,64701,4,LARCENY-FROM MTR VEH UNDER $500,711,N BROADWAY,35,14,4TH,909211,1018825
18-030155,2018-07,7/1/2018 16:00,64701,3,LARCENY-FROM MTR VEH UNDER $500,3213,SHENANDOAH AVE,25,3213,SHENANDOAH,896093.7,1010824
18-030111,2018-07,7/1/2018 16:00,67601,4,"LARCENY-FROM BUILDING $500 - $24,999",2413,BLAIR AVE,63,2413,BLAIR,906501.4,1024997
18-030234,2018-07,7/1/2018 16:40,71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,6252,MCPHERSON AVE,46,6252,MCPHERSON,876656.8,1026266
18-030116,2018-07,7/1/2018 16:40,63601,1,"LARCENY-SHOPLIFT $500 - $24,999",932,LOUGHBOROUGH AVE,1,932,LOUGHBOROUGH,888524.2,991611.8
18-031490,2018-07,7/1/2018 16:40,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,950,LOUGHBOROUGH AVE,1,950,LOUGHBOROUGH,888490.9,992015.3
18-030113,2018-07,7/1/2018 16:45,229999,3,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE,2100,RUSSELL BLVD,23, , ,901073.7,1011134
18-030112,2018-07,7/1/2018 16:56,265321,6,LEAVING SCENE OF ACCIDENT,0,CARTER AVE / N NEWSTEAD AVE,68,4335,NEWSTEAD,897076,1035709
18-030186,2018-07,7/1/2018 17:00,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2911,GASCONADE ST,16,2911,GASCONADE,895894.9,1000833
18-030123,2018-07,7/1/2018 18:00,241100,1,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,5200,LANSDOWNE AVE,7,5200,LANSDOWNE,883043.7,1003024
18-030261,2018-07,7/1/2018 18:00,71013,2,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1910,MAURY AVE,13,1910,MAURY,888423.8,1013204
18-030328,2018-07,7/1/2018 18:00,64601,3,"LARCENY-FROM MTR VEH $500 - $24,999",2319,HICKORY ST,32,2319,HICKORY,900801.5,1014800
18-033917,2018-07,7/1/2018 18:00,65601,4,"LARCENY-MTR VEH PARTS $500 - $24,999",0,CASS AVE / N JEFFERSON AVE,59, , ,902228.9,1023863
18-030121,2018-07,7/1/2018 18:05,91113,5,SIMPLE ASSAULT-ADULT/NO INJURY,5208,SAINT LOUIS AVE,52, , ,888797.9,1034141
18-030129,2018-07,7/1/2018 18:19,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,700,WASHINGTON AVE,35, , ,908433.1,1018467
18-030125,2018-07,7/1/2018 18:30,265321,1,LEAVING SCENE OF ACCIDENT,4400,S COMPTON AVE,17, , ,894439.5,999023.6
18-030190,2018-07,7/1/2018 18:30,64701,1,LARCENY-FROM MTR VEH UNDER $500,3934,ITASKA ST,5,3934,ITASKA,889403.2,999504.8
18-030137,2018-07,7/1/2018 18:30,69702,2,LARCENY-ALL OTHER UNDER $500,6305,SUTHERLAND AVE,8,6305,SUTHERLAND,878140.8,1004183
18-030140,2018-07,7/1/2018 18:45,64601,3,"LARCENY-FROM MTR VEH $500 - $24,999",1517,S 8TH ST,21,1517,8TH,905991.2,1011802
18-030227,2018-07,7/1/2018 19:00,64701,5,LARCENY-FROM MTR VEH UNDER $500,4624,PERSHING PL,38,4624,PERSHING,888817.4,1023953
18-030194,2018-07,7/1/2018 19:00,64701,5,LARCENY-FROM MTR VEH UNDER $500,3960,WEST PINE BLVD,38,3960,WEST PINE,893376.9,1021109
18-030823,2018-07,7/1/2018 19:00,65701,5,LARCENY-MTR VEH PARTS UNDER $500,4917,MCPHERSON AVE,38,4917,MCPHERSON,888311.9,1025245
18-030127,2018-07,7/1/2018 19:15,91114,5,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",0,MINERVA AVE / TEMPLE PL,78, , ,883154.7,1031715
18-030134,2018-07,7/1/2018 19:17,151110,4,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,2510,N GRAND BLVD,59, , ,899466.7,1026595
18-030133,2018-07,7/1/2018 19:30,83000,1,ARSON-KNOWINGLY BURNING/SUCCESS,330,HURCK ST,2,330,HURCK,886938.9,987085.9
18-030184,2018-07,7/1/2018 19:30,265321,6,LEAVING SCENE OF ACCIDENT,4901,UNION BLVD,71, , ,891567.3,1039846
18-030132,2018-07,7/1/2018 19:51,83000,1,ARSON-KNOWINGLY BURNING/SUCCESS,821,SCHIRMER ST,1,800,SCHIRMER,887131.6,989617.3
18-030506,2018-07,7/1/2018 20:00,69702,6,LARCENY-ALL OTHER UNDER $500,2117,E WARNE AVE,68,2117,WARNE,901065.1,1034739
18-030143,2018-07,7/1/2018 20:15,91114,1,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",4720,S BROADWAY,17,4720,BROADWAY,895912.1,996407
18-035333,2018-07,7/1/2018 20:15,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4720,S BROADWAY,17,4720,BROADWAY,895912.1,996407
18-030145,2018-07,7/1/2018 20:30,265321,6,LEAVING SCENE OF ACCIDENT,2146,HARRIS AVE,68,2140,HARRIS,899914.4,1035319
18-031726,2018-07,7/1/2018 20:30,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4156,MANCHESTER AVE,39,4156,MANCHESTER,890977.3,1017352
18-030175,2018-07,7/1/2018 21:00,71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,819,N LEFFINGWELL AVE,59,819,LEFFINGWELL,900828.5,1021484
18-030163,2018-07,7/1/2018 21:15,64701,5,LARCENY-FROM MTR VEH UNDER $500,5861,PAGE BLVD,78,5861,PAGE,881676.1,1032233
18-030148,2018-07,7/1/2018 21:15,265321,6,LEAVING SCENE OF ACCIDENT,4938,LEXINGTON AVE,55, , ,891018.4,1034572
18-030153,2018-07,7/1/2018 21:43,63701,4,LARCENY-SHOPLIFT UNDER $500,4500,N BROADWAY,64, , ,905164,1033720
18-030159,2018-07,7/1/2018 22:00,265321,4,LEAVING SCENE OF ACCIDENT,267,N BROADWAY,35,4619,PENNSYLVANIA,909065.5,1017605
18-034912,2018-07,7/1/2018 22:00,69702,1,LARCENY-ALL OTHER UNDER $500,3639,BLOW ST,4,3639,BLOW,887471.4,992056.9
18-030167,2018-07,7/1/2018 22:05,64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",0,N 14TH ST / WASHINGTON AVE,36, , ,906030.1,1019288
18-030213,2018-07,7/1/2018 22:30,64711,1,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,4001,STEFFENS AVE,5,4001,STEFFENS,889436.9,1000822
18-030152,2018-07,7/1/2018 22:33,266510,5,PUBLIC ORDER-TRESPASSING,707,N KINGSHIGHWAY BLVD,51,707,KINGSHIGHWAY,887661.3,1026321
18-030165,2018-07,7/1/2018 22:36,71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,0,CHIPPEWA ST / MICHIGAN AVE,16, , ,895393.2,1002931
18-030156,2018-07,7/1/2018 22:55,263820,4,OBSTRUCT GOVRN OP-PARK ORD VIOL,0,HADLEY ST / N MARKET ST,63, , ,907709.3,1025330
18-030266,2018-07,7/1/2018 23:00,65701,5,LARCENY-MTR VEH PARTS UNDER $500,5623,COTE BRILLIANTE AVE,50,5623,COTE BRILLIANTE,884455.2,1033736
18-030160,2018-07,7/1/2018 23:10,64701,2,LARCENY-FROM MTR VEH UNDER $500,1220,S NEWSTEAD AVE,39,4377,NORFOLK,888912.6,1016763
18-030301,2018-07,7/1/2018 23:15,64701,5,LARCENY-FROM MTR VEH UNDER $500,4248,WEST PINE BLVD,38,4248,WEST PINE,891465.1,1021608
18-030158,2018-07,7/1/2018 23:20,41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4243,SHREVE AVE,69, , ,894043.6,1036679
18-030218,2018-07,7/2/2018 0:01,64701,3,LARCENY-FROM MTR VEH UNDER $500,0,CHIPPEWA ST / S JEFFERSON AVE,18, , ,898351.1,1002487
18-030796,2018-07,7/2/2018 0:01,32211,2,ROBBERY-RESIDENCE  /KNIFE USED/SUCCESSFUL,2507,HAMPTON AVE,11,1430,OLIVE,880707.6,1012090
18-030189,2018-07,7/2/2018 0:30,64601,3,"LARCENY-FROM MTR VEH $500 - $24,999",1103,S TUCKER BLVD,34,1103,TUCKER,905417,1013957
18-030166,2018-07,7/2/2018 0:30,91113,2,SIMPLE ASSAULT-ADULT/NO INJURY,4112,MANCHESTER AVE,39, , ,891392.9,1017424
18-030166,2018-07,7/2/2018 0:30,91113,2,SIMPLE ASSAULT-ADULT/NO INJURY,4112,MANCHESTER AVE,39, , ,891392.9,1017424
18-030166,2018-07,7/2/2018 0:30,44013,2,"AGG.ASSAULT-HNDS,FST,FEET/CTZEN ADLT 3RD DEGRE",4112,MANCHESTER AVE,39, , ,891392.9,1017424
18-030315,2018-07,7/2/2018 1:00,64701,1,LARCENY-FROM MTR VEH UNDER $500,4620,FENDLER CT,5,4620,FENDLER,889757.7,1000002
18-030839,2018-07,7/2/2018 1:00,71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,0,FOREST PARK AVE / S VANDEVENTE,37, , ,893845,1020169
18-030170,2018-07,7/2/2018 1:26,91303,2,SIMPLE ASSAULT-POLICE OFFICER/NO INJURY,3947,GRAVOIS AVE,15,3947,GRAVOIS,890816.3,1004148
18-030168,2018-07,7/2/2018 1:45,41013,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,0,S BROADWAY / CHOUTEAU AVE,34,710,RUSSELL,907880.3,1013736
18-030168,2018-07,7/2/2018 1:45,41013,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,0,S BROADWAY / CHOUTEAU AVE,34,710,RUSSELL,907880.3,1013736
18-030169,2018-07,7/2/2018 1:59,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4540,UNION BLVD,71,4540,UNION,891638.8,1039764
18-030469,2018-07,7/2/2018 2:00,64701,4,LARCENY-FROM MTR VEH UNDER $500,411,N 8TH ST,35,411,8TH,908132.3,1018345
18-030164,2018-07,7/2/2018 2:03,67701,1,LARCENY-FROM BUILDING UNDER $500,930,HOLLY HILLS AVE,80,930,HOLLYHILLS,889831.3,993186.7
18-030285,2018-07,7/2/2018 3:00,71030,1,AUTO THEFT-PERM RETNT/JOY RIDE,3674,LIERMANN AVE,16,3201,SAINT VINCENT,892333.8,1001688
18-030172,2018-07,7/2/2018 3:18,265321,3,LEAVING SCENE OF ACCIDENT,0,I 55 SOUTHBOUND / POTOMAC ST,18, , ,901841.6,1003371
18-030438,2018-07,7/2/2018 3:30,64701,5,LARCENY-FROM MTR VEH UNDER $500,4517,LEWIS PL,54,4517,LEWIS,891202.6,1027182
18-030288,2018-07,7/2/2018 4:00,64601,1,"LARCENY-FROM MTR VEH $500 - $24,999",7500,VULCAN ST,2,7500,VULCAN,890185.4,987858.2
18-030174,2018-07,7/2/2018 4:20,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2857,OSCEOLA ST,17,2857,OSCEOLA,895737.5,998854.3
18-030178,2018-07,7/2/2018 5:50,64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",721,N TUCKER BLVD,36,721,TUCKER,906857.6,1019492
18-030180,2018-07,7/2/2018 6:50,42011,6,AGG.ASSAULT-KNIFE/CITIZEN ADULT 1ST DEGREE,4015,N EUCLID AVE,69,4015,EUCLID,892355.5,1035866
18-030185,2018-07,7/2/2018 6:55,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4052,NEBRASKA AVE,16,4052,NEBRASKA,896101.9,1000806
18-030182,2018-07,7/2/2018 7:00,51112,5,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,5733,PAGE BLVD,78,5733,PAGE,882393.4,1031699
18-030513,2018-07,7/2/2018 7:00,71030,2,AUTO THEFT-PERM RETNT/JOY RIDE,3929,SHAW AVE,27,3900,SHAW,892671.6,1013271
18-030296,2018-07,7/2/2018 7:00,51122,5,BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED,4229,N MARKET ST E,57,4229,MARKET,895316,1028226
18-030240,2018-07,7/2/2018 7:20,51130,5,BURGLARY-RESIDENCE/DAY/ATT FORCE ENTRY,5881,PLYMOUTH AVE,48,5881,PLYMOUTH,880917.7,1031400
